dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
60,,,,,,,1,0.3382117748260498,2800,,,,,,,1,0.15395092964172363,2800,,,2801.0
78,,,,,,,1,0.5358948707580566,4600,,,,,,,1,0.2376115322113037,4600,,,4601.0
101,,,,,,,1,0.6994335651397705,7800,,,,,,,1,0.378032922744751,7800,,,7801.0
131,,,,,,,1,0.9917888641357422,13400,,,,,,,1,0.6386406421661377,13400,,,13401.0
170,,,,,,,1,1.6065514087677002,22400,,,,,,,1,1.2503929138183594,22400,,,22401.0
221,,,,,,,1,3.648672342300415,38000,,,,,,,1,3.0940959453582764,38000,,,38001.0
287,,,,,,,1,8.489469289779663,64200,,,,,,,1,7.761162281036377,64200,,,64201.0
373,,,,,,,1,23.944875478744507,108600,,,,,,,1,22.849891662597656,108600,,,108601.0
485,,,,,,,1,64.08981204032898,183600,,,,,,,1,62.5037624835968,183600,,,183601.0
630,,,,,,,1,179.80154490470886,310000,,,,,,,1,177.37672877311707,310000,,,310001.0
16,1,1.3890960216522217,16,1,1.9143402576446533,15,,,,1,0.29729652404785156,16,1,0.5620579719543457,15,,,,135.46875,180.0,
32,1,1.9337751865386963,23,1,2.611743927001953,17,,,,1,0.44147300720214844,23,1,0.9850568771362305,17,,,,191.8125,209.25,
64,1,2.3231582641601562,26,1,3.512565851211548,14,,,,1,0.5795416831970215,26,1,1.4133358001708984,14,,,,215.947265625,177.1875,
128,1,2.988060235977173,27,1,4.835482358932495,14,,,,1,0.7310466766357422,27,1,2.489102602005005,14,,,,223.986328125,178.59375,
256,1,3.8831369876861572,27,1,7.234718084335327,13,,,,1,0.8812322616577148,27,1,4.041667222976685,13,,,,223.99658203125,167.34375,
512,1,5.241613388061523,27,1,11.257951974868774,12,,,,1,1.1293542385101318,27,1,6.706460952758789,12,,,,223.9991455078125,155.6953125,
1024,1,10.811327934265137,27,1,20.859121322631836,11,,,,1,1.924248218536377,27,1,11.853029489517212,11,,,,223.99978637695312,143.859375,
2048,1,31.183940410614014,28,1,48.14129829406738,10,,,,1,5.0130455493927,28,1,21.626010179519653,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.19801044464111328,200,,,,,,,1,0.03786730766296387,200,,,201.0
21,,,,,,,1,0.20594120025634766,300,,,,,,,1,0.043039560317993164,300,,,301.0
27,,,,,,,1,0.31148314476013184,400,,,,,,,1,0.04675769805908203,400,,,401.0
35,,,,,,,1,0.23266339302062988,800,,,,,,,1,0.0650324821472168,800,,,801.0
46,,,,,,,1,0.2754967212677002,1600,,,,,,,1,0.1017758846282959,1600,,,1601.0
60,,,,,,,1,0.437100887298584,2800,,,,,,,1,0.1577467918395996,2800,,,2801.0
78,,,,,,,1,0.5317583084106445,4600,,,,,,,1,0.2404627799987793,4600,,,4601.0
101,,,,,,,1,0.6031222343444824,7800,,,,,,,1,0.3831486701965332,7800,,,7801.0
131,,,,,,,1,0.9038362503051758,13400,,,,,,,1,0.6381745338439941,13400,,,13401.0
170,,,,,,,1,1.6895151138305664,22400,,,,,,,1,1.2491300106048584,22400,,,22401.0
221,,,,,,,1,3.649583339691162,38000,,,,,,,1,3.091705799102783,38000,,,38001.0
287,,,,,,,1,8.420247793197632,64200,,,,,,,1,7.758706092834473,64200,,,64201.0
373,,,,,,,1,23.807573080062866,108600,,,,,,,1,22.846217393875122,108600,,,108601.0
485,,,,,,,1,64.07968735694885,183600,,,,,,,1,62.497222661972046,183600,,,183601.0
630,,,,,,,1,179.8619363307953,310000,,,,,,,1,177.36905169487,310000,,,310001.0
16,1,1.3982596397399902,16,1,1.9384474754333496,15,,,,1,0.29935741424560547,16,1,0.5537536144256592,15,,,,135.46875,180.0,
32,1,1.9308514595031738,23,1,2.593204975128174,17,,,,1,0.4310431480407715,23,1,0.9433016777038574,17,,,,191.8125,209.25,
64,1,2.353813886642456,26,1,3.472524642944336,14,,,,1,0.5644495487213135,26,1,1.4831569194793701,14,,,,215.947265625,177.1875,
128,1,2.9825220108032227,27,1,4.688164710998535,14,,,,1,0.7146711349487305,27,1,2.3176181316375732,14,,,,223.986328125,178.59375,
256,1,3.881157875061035,27,1,7.0500617027282715,13,,,,1,0.8813273906707764,27,1,3.858612537384033,13,,,,223.99658203125,167.34375,
